Shang Hai,33333,inquiry ,2017-11-29 04:02:31.866,1511949875927
Hang Zhou,22222,deposit ,2017-11-29 04:02:31.874,1511949875927
Kun  Ming,11111,deposit ,2017-11-29 04:02:31.884,1511949875927
Gui  Ling,00000,inquiry ,2017-11-29 04:02:31.892,1511949875927
Nan  Jing,33333,withdraw,2017-11-29 04:02:31.900,1511949875927
Shang Hai,22222,deposit ,2017-11-29 04:02:31.906,1511949875927
Hang Zhou,11111,inquiry ,2017-11-29 04:02:31.913,1511949875928
Kun  Ming,00000,deposit ,2017-11-29 04:02:31.921,1511949875928
Gui  Ling,33333,deposit ,2017-11-29 04:02:31.928,1511949875928
Nan  Jing,22222,inquiry ,2017-11-29 04:02:31.935,1511949875928
Shang Hai,11111,deposit ,2017-11-29 04:02:31.942,1511949875928
Hang Zhou,00000,deposit ,2017-11-29 04:02:31.949,1511949875928
Kun  Ming,33333,inquiry ,2017-11-29 04:02:31.957,1511949875928
Gui  Ling,22222,deposit ,2017-11-29 04:02:31.964,1511949875928
Nan  Jing,11111,deposit ,2017-11-29 04:02:31.971,1511949875928
Shang Hai,00000,inquiry ,2017-11-29 04:02:31.978,1511949875928
Hang Zhou,33333,deposit ,2017-11-29 04:02:31.986,1511949875928
Kun  Ming,22222,deposit ,2017-11-29 04:02:31.993,1511949875928
Gui  Ling,11111,inquiry ,2017-11-29 04:02:32.00,1511949875928
Nan  Jing,00000,deposit ,2017-11-29 04:02:32.09,1511949875928
Shang Hai,33333,deposit ,2017-11-29 04:02:32.17,1511949875928
Hang Zhou,22222,inquiry ,2017-11-29 04:02:32.24,1511949875929
Kun  Ming,11111,deposit ,2017-11-29 04:02:32.31,1511949875929
Gui  Ling,00000,deposit ,2017-11-29 04:02:32.38,1511949875929
Nan  Jing,33333,inquiry ,2017-11-29 04:02:32.46,1511949875929
Shang Hai,22222,deposit ,2017-11-29 04:02:32.53,1511949875929
Hang Zhou,11111,deposit ,2017-11-29 04:02:32.61,1511949875929
Kun  Ming,00000,inquiry ,2017-11-29 04:02:32.69,1511949875929
Gui  Ling,33333,deposit ,2017-11-29 04:02:32.76,1511949875929
Nan  Jing,22222,deposit ,2017-11-29 04:02:32.85,1511949875929
Shang Hai,11111,inquiry ,2017-11-29 04:02:32.92,1511949875929
Hang Zhou,00000,deposit ,2017-11-29 04:02:32.99,1511949875929
Kun  Ming,33333,deposit ,2017-11-29 04:02:32.106,1511949875929
Gui  Ling,22222,inquiry ,2017-11-29 04:02:32.113,1511949875929
Nan  Jing,11111,deposit ,2017-11-29 04:02:32.121,1511949875929
Shang Hai,00000,deposit ,2017-11-29 04:02:32.130,1511949875930
Hang Zhou,33333,inquiry ,2017-11-29 04:02:32.138,1511949875930
Kun  Ming,22222,deposit ,2017-11-29 04:02:32.146,1511949875930
Nan  Jing,22222,inquiry ,2017-11-29 04:02:32.395,1511949875930
Shang Hai,11111,inquiry ,2017-11-29 04:02:11.848,1511949876002
Shang Hai,33333,inquiry ,2017-11-29 04:02:30.486,1511949876074
Hang Zhou,22222,deposit ,2017-11-29 04:02:31.351,1511949876074
Kun  Ming,11111,deposit ,2017-11-29 04:02:31.362,1511949876075
Gui  Ling,00000,inquiry ,2017-11-29 04:02:31.375,1511949876075
Nan  Jing,33333,deposit ,2017-11-29 04:02:31.394,1511949876075
Shang Hai,22222,deposit ,2017-11-29 04:02:31.409,1511949876075
Hang Zhou,11111,inquiry ,2017-11-29 04:02:31.418,1511949876075
